date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-04-27,13.3,10,15.2,0,,357,10.9,,1016.6,
2023-04-28,15.8,11.8,18.8,10.7,,7,19,,1014.3,
2023-04-29,15.5,14.2,17.5,24.2,,346,18.5,,1016.5,
2023-04-30,14.3,9.2,18.1,5.5,,217,12.1,,1022.3,
2023-05-01,11.7,7.5,17,0,,198,16,,1021.3,
2023-05-02,9.9,3.9,16,0,,184,13.4,,1017.7,
2023-05-03,9.4,3,13.9,0,,168,11.4,,1014.8,
2023-05-04,10.5,7.2,14,0,,137,10.9,,1016.4,
2023-05-05,10.1,4.6,14.2,0,,105,10.6,,1015.3,
2023-05-06,10.5,6.2,14.4,0,,57,9.3,,1015.9,
2023-05-07,9.8,5.7,15,0,,143,8.7,,1018.6,
2023-05-08,10.8,5.2,16,0,,151,10.9,,1017,
2023-05-09,11.2,4.5,18,0,,135,10.6,,1016.1,
2023-05-10,11.7,6.9,17,0,,129,9.4,,1016.2,
2023-05-11,14.9,6.3,23,0,,178,9.9,,1016.1,
2023-05-12,19.7,11.5,29.2,0,,161,13.8,,1014.1,
2023-05-13,13.2,9.8,17,0,,352,11.4,,1013,
2023-05-14,13.1,9,16.2,0,,14,12.1,,1014.5,
2023-05-15,15.7,13.7,17.9,0,,338,9.7,,1018.2,
2023-05-16,14.1,11.3,17.4,0,,213,7.7,,1017,
2023-05-17,14.8,9,18.5,0.5,,9,10.2,,1019.5,
2023-05-18,12.6,7.5,17.3,0,,168,11.6,,1017.9,
2023-05-19,12.3,6.6,19.6,0,,203,13.1,,1018.7,
2023-05-20,10.1,3.9,14.5,0,,235,12,,1016.3,
2023-05-21,12.4,8.4,15,39.8,,12,11.5,,1016.9,
2023-05-22,14.1,11.7,17.2,23.6,,38,14.1,,1016.2,
2023-05-23,13.8,12.2,17,0.2,,50,10.2,,1016.9,
2023-05-24,13.6,11.1,17,1.6,,161,7.2,,1017.9,
2023-05-25,11.5,8.5,14.4,0.7,,162,7.2,,1017.9,
2023-05-26,11.1,5,18,0,,153,10.5,,1022,
2023-05-27,10.4,5.8,14.3,0,,187,12.7,,1019.6,
2023-05-28,8.3,4,13,0,,178,7.1,,1019.9,
